URL, number of outlinks
http://item.gmarket.co.kr/Item?goodscode=1807101285&ver=637813092907516392, 75
http://item.gmarket.co.kr/Item?goodscode=2337665359, 61
http://item.gmarket.co.kr/Item?goodscode=2234353887&ver=637813092798902601, 49
http://item.gmarket.co.kr/Item?goodscode=1599146602&ver=637813093130981753, 68
http://item.gmarket.co.kr/Item?goodscode=2128069096, 57
http://item.gmarket.co.kr/Item?goodscode=1470853134&ver=637813092907516392, 50
http://item.gmarket.co.kr/Item?goodscode=1780733427, 58
http://item.gmarket.co.kr/Item?goodscode=2363338674&ver=637813092685248827, 59
http://item.gmarket.co.kr/Item?goodsCode=2363504937, 59
http://item.gmarket.co.kr/Item?goodscode=2360517250, 58
http://item.gmarket.co.kr/Item?goodscode=1894809890&ver=637813093065850417, 60
http://item.gmarket.co.kr/Item?goodscode=2362171225&ver=637813092978660066, 76
http://item.gmarket.co.kr/Item?goodscode=2337691792&ver=637813092685248827, 67
http://item.gmarket.co.kr/Item?goodscode=2204259323, 68
http://item.gmarket.co.kr/Item?goodscode=2133640194, 80
https://www.gmarket.co.kr/galleria5/List?Category=100000085&DisplayType=None&SortType=None, 2
https://www.gmarket.co.kr/CJoshopping/List?Category=100000035&DisplayType=None&SortType=None, 2
https://www.gmarket.co.kr/HAPPYCON/List?Category=300013101&DisplayType=None, 2
https://www.gmarket.co.kr/#comp_12373667, 350
https://www.gmarket.co.kr/#comp_12423844, 350
http://item.gmarket.co.kr/Item?goodscode=2316903829&ver=637813093065850417, 61
http://item.gmarket.co.kr/Item?goodscode=2338448472&ver=637813093130653433, 46
http://item.gmarket.co.kr/Item?goodscode=2077161981, 70
http://item.gmarket.co.kr/Item?goodscode=2295568471, 78
http://item.gmarket.co.kr/Item?goodscode=695764140&ver=637813092994884958, 60
https://www.gmarket.co.kr/kthshop/List?Category=100000041&DisplayType=None&SortType=None, 2
http://item.gmarket.co.kr/Item?goodscode=1552164520, 67
http://item.gmarket.co.kr/Item?goodscode=2363610564&ver=637813093023286984, 76
http://item.gmarket.co.kr/Item?goodscode=1807235725&ver=637813092565001194, 60
